TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
24-07-2022,21.2,32.4,25.8,88,46.6,7.3,5,180,1,C 
25-07-2022,22.8,31.2,25.7,86,7.9,7.6,2,315,1,C 
26-07-2022,21.8,31.6,26.2,81,2,2.9,2,36,0,C 
27-07-2022,21.6,32.5,25.8,82,-,6.3,3,350,1,C 
28-07-2022,21.5,32.2,26.5,79,-,7.1,6,60,2,C 
29-07-2022,22.4,32.7,27.2,80,0,8.5,4,50,1,C 
30-07-2022,23.2,32.2,26.4,83,-,8.3,4,250,0,C 
31-07-2022,21.9,31.9,26.2,80,-,4.9,4,45,1,C 
01-08-2022,21,33.4,26.3,76,-,8,4,50,1,C 
02-08-2022,22,33.3,-,-,-,8.9,3,310,1,C 
03-08-2022,23.4,31.7,26.3,85,8.5,7.1,3,70,1,C 
04-08-2022,22.6,31.2,25.9,85,23.5,4.1,2,240,0,C 
05-08-2022,21.8,31.2,25.9,85,4.5,4.3,3,320,1,C 
06-08-2022,21.2,32.6,25.3,84,-,8.5,3,320,1,C 
07-08-2022,20.4,32.1,24.8,86,3.6,7.9,4,12,1,C 
08-08-2022,20.6,32.8,26.3,79,24,7.5,4,350,1,C 
09-08-2022,22.1,32.8,25.3,83,3.5,8.3,4,280,1,C 
10-08-2022,21.2,33,26.4,80,8,8.3,4,45,1,C 
11-08-2022,21.2,-,27.2,79,1.6,8,3,310,1,C 
12-08-2022,21,32.5,26.5,84,0.4,-,8,340,2,C 
13-08-2022,21.4,33,25.3,86,4,6.8,10,100,2,C 
14-08-2022,21.6,33.4,25.4,84,29,7,6,260,2,N 
15-08-2022,21.8,33.3,25.9,84,8,7.2,4,350,1,C 
16-08-2022,22.8,32.2,25.5,86,23,8.5,3,260,1,C 
17-08-2022,22,31.2,26.2,86,47.5,5.6,3,40,1,C 
18-08-2022,22.2,32.4,26.8,76,0,6.8,4,60,1,C 
19-08-2022,21.2,-,26.8,76,0,7.1,4,30,1,C 
20-08-2022,21.3,32.8,27.3,78,-,10,5,75,1,C 
21-08-2022,22.5,32.2,25.5,84,-,8.7,3,40,1,C 
22-08-2022,21.6,32.2,24.9,90,58.5,6.5,3,290,1,C 
23-08-2022,21.6,32.9,27.3,78,14.2,3.3,3,360,1,C 
24-08-2022,22.6,32.8,26.9,82,14.5,9.2,3,360,1,C 
25-08-2022,21.5,32.2,26.4,80,23.6,6.9,3,20,0,C 
26-08-2022,20.9,31.7,25.3,85,-,7.1,4,30,1,C 
27-08-2022,21.7,31.9,26.2,85,0.5,6,5,180,1,C 
28-08-2022,21.2,31.5,25.4,87,22,4.6,3,340,1,C 
29-08-2022,21.7,32.2,25.7,88,26.6,5,4,350,0,C 
30-08-2022,21.8,32.8,25.8,86,27.3,4.4,6,40,1,C 
31-08-2022,22,31.6,26.4,81,8.6,6.5,4,60,1,C 
01-09-2022,-,31.5,26.5,86,-,-,6,70,1,C 
02-09-2022,21.6,32.5,26.3,83,0,3.2,5,350,1,C 
03-09-2022,22.1,31.6,26.2,85,0.3,7.6,4,300,1,C 
04-09-2022,21.6,32.6,24.9,86,0,6.6,4,30,1,C 
05-09-2022,-,-,27,80,11.9,8.5,3,50,1,C 
06-09-2022,22.7,-,26.5,85,0.8,5.6,5,60,1,C 
07-09-2022,22,32.4,25.3,89,25.7,8.1,4,350,1,C 
08-09-2022,22.6,-,24.6,93,2.6,6,4,90,1,C 
09-09-2022,20.9,30.4,24.5,90,27.7,0.1,5,360,1,C 
10-09-2022,-,30.1,23.8,94,12.2,3,8,110,1,C 
11-09-2022,21.7,31.5,25.5,86,19.9,2.8,9,150,2,C 
12-09-2022,21.4,31.7,26.5,83,43.5,8.4,5,100,1,C 
13-09-2022,23.4,31,25.3,85,1.5,8.3,12,160,1,C 
14-09-2022,20.3,32.8,26.7,78,15,4.5,5,360,1,C 
15-09-2022,20.5,32.2,26.4,78,-,5.5,3,320,1,C 
16-09-2022,20.5,32.2,25.1,86,35.8,7.7,7,40,1,C 
17-09-2022,21.2,32.6,26,83,58.2,6.3,5,40,1,C 
18-09-2022,22.8,32.4,26.6,82,1.4,7.8,3,310,1,C 
19-09-2022,21.8,32.8,25.9,82,22.5,5.4,5,100,1,C 
20-09-2022,20,32,25.5,80,4.6,9.3,4,45,1,C 
21-09-2022,22.8,32.7,27,83,8888,6.3,3,270,1,C 
22-09-2022,22.2,31.4,25.5,88,3.3,6.2,3,330,1,C 
23-09-2022,22.6,32,26.1,86,2.7,4.7,3,360,1,C 
24-09-2022,-,33.7,25.8,84,22.3,3.4,4,360,1,C 
25-09-2022,21.4,33.1,26.2,85,0.4,8.5,3,350,1,C 
26-09-2022,21.7,33,26.9,78,0.5,8.3,3,300,1,C 
27-09-2022,21.4,-,27.2,77,0,6.6,4,170,1,C 
28-09-2022,21.4,33.5,25.9,84,17,8.3,3,300,1,C 
29-09-2022,22.2,33,26.8,80,14,7.2,3,300,1,C 
30-09-2022,22.8,33.6,26.9,79,0.4,4.2,5,45,2,C 
01-10-2022,23,31.8,25.1,92,-,6.3,6,350,1,C 
02-10-2022,22,30,26.4,86,46,4.4,3,320,0,C 
03-10-2022,22.2,32.1,25.9,87,8888,3.1,4,170,1,C 
04-10-2022,22.6,-,25.4,88,79.7,8.4,5,250,1,C 
05-10-2022,21.8,31.6,25.9,88,9,5,3,20,1,C 
06-10-2022,21.3,32.3,25.7,88,15.4,1.9,5,310,1,C 
07-10-2022,22.4,30.4,24.2,94,13.2,6,8,190,1,C 
08-10-2022,21,30,25.3,88,37.4,3.2,4,150,0,C 
09-10-2022,21.9,32,25.3,87,1,1.7,5,200,1,C 
10-10-2022,22,31,26.3,82,41.5,4.7,2,90,1,C 
11-10-2022,21.7,31.3,25.7,87,-,3,5,110,1,C 
12-10-2022,20.2,32,25.1,87,57.2,1.6,4,320,1,C 
13-10-2022,22.2,31.7,-,-,26.5,5.1,4,240,1,C 
14-10-2022,21.3,32.6,26.4,86,4.4,2.2,3,150,1,C 
15-10-2022,-,32,26.7,84,5.3,-,3,190,1,C 
16-10-2022,23.4,31.8,26.9,85,0.5,4.2,3,330,1,C 
17-10-2022,22,32.2,26.8,84,9.5,5.3,3,270,0,C 
18-10-2022,23.2,32.4,25.8,90,11,3.9,4,240,1,C 
19-10-2022,21.6,30.2,25.1,92,43,1.2,3,20,0,C 
20-10-2022,21.9,30.6,25.2,93,34.3,0.5,11,20,1,C 
21-10-2022,22.4,30,25.7,89,25.9,3.4,4,340,1,C 
22-10-2022,22,32.2,26.9,84,0.2,0.4,4,320,1,C 
23-10-2022,23.2,32.1,26.4,90,13.8,6.8,6,170,1,C 
24-10-2022,22.1,31.8,25.9,86,2.3,6.8,3,225,1,C 
25-10-2022,22.5,31.4,25.9,84,0.7,5.5,4,310,1,C 
26-10-2022,21.4,30,25.5,90,21.8,3.2,3,290,1,C 
27-10-2022,21.1,31,27.1,78,8888,0.1,3,130,1,C 
28-10-2022,20,32.8,26.8,74,-,2.8,3,20,1,C 
29-10-2022,-,32.6,27.6,73,-,6.9,3,315,1,C 
30-10-2022,20.7,32.6,27.5,72,-,7,6,90,2,C 
31-10-2022,22,32.7,26.9,78,-,7.2,4,340,1,C 
01-11-2022,22,-,26.9,83,1.8,7.5,5,300,1,C 
02-11-2022,21.9,33.2,27.3,78,8888,5.1,4,270,1,C 
03-11-2022,21.4,31.8,25.9,90,47.3,6.7,5,190,1,C 
04-11-2022,22.3,32.3,26.3,89,2,4,5,140,2,C 
05-11-2022,22.7,31.5,25.8,88,18.7,4.2,4,40,1,C 
06-11-2022,21,31.4,25.8,88,7,4.8,4,200,0,C 
07-11-2022,22.2,30,24.8,94,16.6,1.2,3,350,0,C 
08-11-2022,21.4,30.2,-,-,1,1.6,4,72,1,C 
09-11-2022,21.2,30.3,25.6,87,13.8,-,10,210,1,C 
10-11-2022,21.6,29.7,24.8,91,9.3,2.4,4,320,1,C 
11-11-2022,21.4,30.8,25.3,92,32.2,1.1,3,310,1,C 
12-11-2022,22.1,31,25.5,89,4.8,2.8,4,270,0,C 
13-11-2022,21.2,30.6,23.8,96,52,2,3,360,1,C 
14-11-2022,21,32.3,26,90,25.3,3.5,4,330,0,C 
15-11-2022,22,29.7,25.9,86,12.3,6.8,5,240,2,C 
16-11-2022,21.4,30.4,25.8,88,-,2.2,4,270,0,C 
17-11-2022,23.6,28,24.9,90,12.8,2.6,3,220,1,C 
18-11-2022,21.4,-,26.6,81,5.6,0,7,247,2,C 
19-11-2022,21.5,31.4,26.7,80,2.4,7,6,310,1,C 
20-11-2022,22.3,32.6,26.8,78,8888,6.7,9,210,1,C 
21-11-2022,21.4,32.2,27,78,-,5.4,5,300,1,C 
22-11-2022,21,32.4,26.5,80,-,4.1,5,245,1,C 
23-11-2022,22.4,31.5,26.7,86,-,5.6,6,315,1,C 
24-11-2022,22.6,30.4,26.1,85,10.4,3.3,5,333,1,C 
25-11-2022,21.5,30.4,25.9,84,12.5,2.6,2,50,0,C 
26-11-2022,22.8,31.4,26.5,83,0,1,8,240,1,C 
27-11-2022,22.4,31.4,26.2,85,-,0.3,3,300,0,C 
28-11-2022,22.9,31.8,25.6,90,1,2,3,308,1,C 
29-11-2022,20.8,33.4,26.6,82,32.2,6.3,4,60,1,C 
30-11-2022,22,32.3,26.5,84,-,7.3,4,340,1,C 
01-12-2022,22,-,26.3,85,-,4.4,7,77,1,C 
02-12-2022,21.8,-,25.8,86,0.6,5.9,3,180,1,C 
03-12-2022,21.6,32.8,26.7,81,-,1.8,3,340,1,C 
04-12-2022,21.6,31.6,25.9,86,1.3,6.2,5,180,1,C 
05-12-2022,21,31.8,25.7,88,35.5,5,4,322,0,C 
06-12-2022,22,30,24.8,93,0.2,6.4,9,247,1,C 
07-12-2022,20.4,30.8,25.6,88,33.9,3.6,5,87,1,C 
08-12-2022,23.5,31.6,26,89,15.8,3.6,5,250,1,C 
09-12-2022,21.4,29,24.5,92,8888,2.4,7,340,1,C 
10-12-2022,20,31.5,26.5,81,9.3,1.3,2,30,0,C 
11-12-2022,21.6,31.4,26.8,81,0,4,3,290,1,C 
12-12-2022,20.8,32.4,26.8,80,-,3.9,7,200,1,C 
13-12-2022,21.2,31,25.7,89,4,5.2,5,250,1,C 
14-12-2022,21,30.1,25,88,0.1,4.5,7,270,1,C 
15-12-2022,22.4,33.5,28.2,74,2.5,1.9,6,140,2,C 
16-12-2022,23.3,32.6,26.7,83,-,6.7,7,330,1,C 
17-12-2022,22.8,33.4,26.8,84,-,4.1,4,180,1,C 
18-12-2022,22.2,32.6,26,85,1.1,2.9,5,140,1,C 
19-12-2022,20.5,32.3,26.1,78,1,6,7,350,1,C 
20-12-2022,20.5,31.9,27,83,0,2,4,350,1,C 
21-12-2022,22.2,32.2,-,-,0.8,5.5,3,20,1,C 
22-12-2022,21.8,30.2,26.7,77,9.3,6,11,260,2,C 
23-12-2022,21.8,28.9,25.7,86,8.9,0.3,6,250,1,C 
24-12-2022,22.3,30.2,26.5,82,8888,1,4,310,1,C 
25-12-2022,21.1,28,24.6,92,20.2,0.7,3,320,1,C 
26-12-2022,21.4,29,25,92,9.2,0,4,300,1,C 
27-12-2022,20.8,27.9,24.7,85,22.9,0,5,290,1,C 
28-12-2022,20.2,27.6,23.4,92,3,0,4,240,1,C 
29-12-2022,20.8,27.2,24,92,26.2,0.1,3,290,1,C 
30-12-2022,21,27.2,24.4,92,18.7,0,3,240,0,C 
31-12-2022,21.8,27.1,24.3,92,1.5,0,12,240,2,SW
